model_size,method,seed,step,train_format,train_correctness,val_format,val_correctness,pi_correctness,w_correctness,active_groups_correctness,pi_format,w_format,active_groups_format
1.5B,rdgdpo_positive,0,88,0.932128906,1.877301455,,,0.089843750,1.000000000,46.000000000,0.023437500,1.957890021,12.000000000
1.5B,rdgdpo_positive,0,89,0.935058594,1.841001391,,,0.126953125,1.000000000,65.000000000,0.027343750,2.154729018,14.000000000
1.5B,rdgdpo_positive,0,90,0.943847656,1.868265152,0.975000000,1.758065788,0.105468750,1.000000000,54.000000000,0.013671875,2.777460299,7.000000000
1.5B,rdgdpo_positive,0,91,0.949218750,1.877850890,,,0.121093750,1.000000000,62.000000000,0.007812500,3.937003937,4.000000000
1.5B,rdgdpo_positive,0,92,0.938964844,1.855340600,,,0.097656250,1.000000000,50.000000000,0.015625000,2.500000000,8.000000000
1.5B,rdgdpo_positive,0,93,0.940917969,1.900738358,,,0.085937500,1.000000000,44.000000000,0.013671875,2.507132682,7.000000000
1.5B,rdgdpo_positive,0,94,0.938476562,1.898341656,,,0.099609375,1.000000000,51.000000000,0.011718750,2.915475947,6.000000000
1.5B,rdgdpo_positive,0,95,0.933593750,1.880935073,,,0.101562500,1.000000000,52.000000000,0.017578125,2.403700850,9.000000000
1.5B,rdgdpo_positive,0,96,0.956054688,1.899350166,,,0.101562500,1.000000000,52.000000000,0.011718750,2.943920289,6.000000000
1.5B,rdgdpo_positive,0,97,0.947753906,1.929840803,,,0.121093750,1.000000000,62.000000000,0.015625000,2.783882181,8.000000000
1.5B,rdgdpo_positive,0,98,0.936035156,1.792296529,,,0.099609375,1.000000000,51.000000000,0.019531250,2.258317958,10.000000000
1.5B,rdgdpo_positive,0,99,0.936523438,1.926061988,,,0.082031250,1.000000000,42.000000000,0.009765625,2.898275349,5.000000000
1.5B,rdgdpo_positive,0,100,0.938476562,1.852508307,0.975000000,1.766485700,0.097656250,1.000000000,50.000000000,0.003906250,5.000000000,2.000000000
1.5B,rdgdpo_positive,1,0,,,0.025000000,-2.543750000,,,,,,
1.5B,rdgdpo_positive,1,1,0.001953125,-2.450601101,,,0.160156250,1.000000000,82.000000000,0.007812500,4.527692569,4.000000000
1.5B,rdgdpo_positive,1,2,0.010742188,-2.484021664,,,0.162109375,1.000000000,83.000000000,0.035156250,2.147349788,18.000000000
1.5B,rdgdpo_positive,1,3,0.005371094,-2.252889633,,,0.234375000,1.000000000,120.000000000,0.019531250,3.464101615,10.000000000
1.5B,rdgdpo_positive,1,4,0.009765625,-1.633633494,,,0.490234375,1.000000000,251.000000000,0.039062500,3.542597917,20.000000000
1.5B,rdgdpo_positive,1,5,0.025390625,-0.752855659,,,0.679687500,1.000000000,348.000000000,0.093750000,2.692582404,48.000000000
