infra,model_size,method,seed,checkpoint_step,v4_complete,v3_live,v3_non_live,v4_live,v4_live_format,v4_non_live,v4_non_live_format,v4_multi_turn,v4_multi_turn_format,v4_average,v4_average_format,v3_live_simple,v3_live_multiple,v3_live_parallel,v3_live_parallel_multiple,v3_non_live_simple,v3_non_live_multiple,v3_non_live_parallel,v3_non_live_parallel_multiple,source_model_id,run_id
haotian,3B,grpo,5,100,True,70.76239822353811,82.47916666666667,69.65210954848261,99.7779422649889,82.8125,100.0,6.625,60.52418444205308,53.029869849494204,86.76737556901399,67.44186046511628,71.88983855650523,68.75,58.333333333333336,74.41666666666667,93.0,83.0,79.5,haotian-3b-grpo-s5,3b-grpo-s5
haotian,3B,gdpo,0,100,True,68.39378238341969,83.5,68.39378238341969,100.0,82.60416666666667,100.0,8.0,89.68175126799409,52.99931635002878,96.56058375599802,62.4031007751938,70.18043684710351,75.0,50.0,74.5,94.0,83.0,82.5,haotian-3b-gdpo-s0,3b-gdpo-s0
haotian,3B,gdpo,1,100,True,68.9859363434493,82.8125,69.1339748334567,99.9259807549963,82.79166666666666,100.0,11.125,91.60314879189033,54.35021383337445,97.17637651562889,64.72868217054264,70.08547008547009,75.0,62.5,72.25,93.0,84.0,82.0,haotian-3b-gdpo-s1,3b-gdpo-s1
haotian,3B,gdpo,2,100,True,69.2820133234641,82.60416666666667,69.059955588453,100.0,81.85416666666667,100.0,7.375,85.79440073309577,52.763040751706555,95.26480024436526,64.72868217054264,70.75023741690408,68.75,54.166666666666664,74.91666666666667,93.5,82.5,79.5,haotian-3b-gdpo-s2,3b-gdpo-s2
haotian,3B,gdpo,4,100,True,71.13249444855663,84.14583333333333,70.98445595854922,99.9259807549963,84.0625,100.0,9.875,91.1746809013159,54.9739853195164,97.0335538854374,67.82945736434108,72.26970560303894,68.75,58.333333333333336,76.08333333333333,93.5,84.5,82.5,haotian-3b-gdpo-s4,3b-gdpo-s4
haotian,3B,gdpo,5,100,True,68.9119170984456,81.70833333333333,68.9119170984456,99.7779422649889,81.70833333333334,100.0,9.0,90.67923859478529,53.20675014392631,96.8190602865914,65.89147286821705,69.89553656220323,75.0,54.166666666666664,73.33333333333333,92.0,83.5,78.0,haotian-3b-gdpo-s5,3b-gdpo-s5
haotian,3B,dara,0,100,True,69.94818652849742,82.35416666666667,69.80014803849001,100.0,82.27083333333334,100.0,8.25,91.63797740644493,53.44032712394111,97.21265913548164,67.44186046511628,71.03513770180437,75.0,45.833333333333336,74.91666666666667,93.0,83.0,78.5,haotian-3b-rdgdpo-symmetric-s0,3b-dara-s0
haotian,3B,dara,1,100,True,69.80014803849001,82.47916666666667,71.05847520355293,99.9259807549963,83.08333333333333,100.0,8.125,94.67431577817607,54.088936178962086,98.2000988443908,66.66666666666667,70.75023741690408,68.75,62.5,74.41666666666667,92.0,83.5,80.0,haotian-3b-rdgdpo-symmetric-s1,3b-dara-s1
haotian,3B,dara,2,100,True,70.76239822353811,84.29166666666667,70.76239822353811,100.0,83.75,100.0,10.25,89.04155320464082,54.92079940784605,96.34718440154694,68.21705426356588,71.60493827160494,68.75,62.5,74.66666666666667,93.0,85.0,84.5,haotian-3b-rdgdpo-symmetric-s2,3b-dara-s2
haotian,3B,dara,4,100,True,72.09474463360473,82.41666666666667,71.35455218356773,100.0,82.20833333333333,100.0,9.875,91.12536348829808,54.479295172300354,97.04178782943269,70.54263565891473,72.93447293447294,75.0,50.0,74.16666666666667,92.5,83.0,80.0,haotian-3b-rdgdpo-symmetric-s4,3b-dara-s4
haotian,3B,dara,5,100,True,69.43005181347151,83.33333333333333,68.9859363434493,99.9259807549963,83.9375,100.0,8.5,91.9697028275742,53.8078121144831,97.29856119419017,65.11627906976744,70.65527065527066,68.75,62.5,75.33333333333333,92.0,84.0,82.0,haotian-3b-rdgdpo-symmetric-s5,3b-dara-s5
